election_id,election_year,us_population_estimate
elec_1789,1789,3929214
elec_1792,1792,4194000
elec_1796,1796,4658000
elec_1800,1800,5308483
elec_1804,1804,5900000
elec_1808,1808,6600000
elec_1812,1812,7239881
elec_1816,1816,8200000
elec_1820,1820,9638453
elec_1824,1824,11000000
elec_1828,1828,12400000
elec_1832,1832,12866020
elec_1836,1836,14200000
elec_1840,1840,17069453
elec_1844,1844,19500000
elec_1848,1848,21800000
elec_1852,1852,23191876
elec_1856,1856,27000000
elec_1860,1860,31443321
elec_1864,1864,34500000
elec_1868,1868,37500000
elec_1872,1872,38558371
elec_1876,1876,44000000
elec_1880,1880,50189209
elec_1884,1884,55000000
elec_1888,1888,60000000
elec_1892,1892,62979766
elec_1896,1896,68000000
elec_1900,1900,76212168
elec_1904,1904,82000000
elec_1908,1908,88000000
elec_1912,1912,91972266
elec_1916,1916,100000000
elec_1920,1920,106021537
elec_1924,1924,114000000
elec_1928,1928,120000000
elec_1932,1932,122775046
elec_1936,1936,128000000
elec_1940,1940,132164569
elec_1944,1944,138000000
elec_1948,1948,146500000
elec_1952,1952,151325798
elec_1956,1956,168000000
elec_1960,1960,179323175
elec_1964,1964,191000000
elec_1968,1968,200706052
elec_1972,1972,209000000
elec_1976,1976,218035000
elec_1980,1980,226545805
elec_1984,1984,236000000
elec_1988,1988,245000000
elec_1992,1992,248709873
elec_1996,1996,265000000
elec_2000,2000,281421906
elec_2004,2004,293000000
elec_2008,2008,304000000
elec_2012,2012,308745538
elec_2016,2016,323000000
elec_2020,2020,331449281
elec_2024,2024,336000000

